,min,max,default,share_group,step,code,unit,disabled,cache_error,permitted_values
energy_treatment_natural_gas_share,0.0,100.0,100.0,grid_natural_gas,0.1,energy_treatment_natural_gas_share,%,,,
energy_regasification_lng_share,0.0,100.0,0.0,grid_natural_gas,0.1,energy_regasification_lng_share,%,,,
share_of_molecules_transport_ships_co2,0.0,100.0,50.0,carbon_transport,0.1,share_of_molecules_transport_ships_co2,%,,,
share_of_molecules_transport_pipelines_co2,0.0,100.0,50.0,carbon_transport,0.1,share_of_molecules_transport_pipelines_co2,%,,,
demand_of_molecules_offshore_sequestration_co2,0.0,41.95,0.0,,0.01,demand_of_molecules_offshore_sequestration_co2,MT,,,
demand_of_molecules_other_utilisation_co2,0.0,16.434977,0.0,,0.01,demand_of_molecules_other_utilisation_co2,MT,,,
output_of_energy_production_synthetic_kerosene,0.0,158.36902,0.0,,0.01,output_of_energy_production_synthetic_kerosene,PJ,,,
output_of_energy_production_synthetic_methanol,0.0,50.0,0.0,,0.01,output_of_energy_production_synthetic_methanol,PJ,,,
share_of_energy_power_combined_cycle_ccs_coal,0.0,100.0,0.0,,1.0,share_of_energy_power_combined_cycle_ccs_coal,%,,,
share_of_industry_steel_captured_co2,0.0,100.0,0.0,,1.0,share_of_industry_steel_captured_co2,%,,,
share_of_energy_hydrogen_steam_methane_reformer_ccs,0.0,100.0,0.0,,1.0,share_of_energy_hydrogen_steam_methane_reformer_ccs,%,,,
share_of_energy_power_combined_cycle_ccs_network_gas,0.0,100.0,0.0,,1.0,share_of_energy_power_combined_cycle_ccs_network_gas,%,,,
share_of_industry_chemicals_fertilizers_captured_processes_co2,0.0,100.0,65.0,,1.0,share_of_industry_chemicals_fertilizers_captured_processes_co2,%,,,
share_of_industry_other_food_captured_co2,0.0,100.0,0.0,,1.0,share_of_industry_other_food_captured_co2,%,,,
share_of_industry_other_paper_captured_co2,0.0,100.0,0.0,,1.0,share_of_industry_other_paper_captured_co2,%,,,
share_of_energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.0,100.0,0.0,,1.0,share_of_energy_power_ultra_supercritical_oxyfuel_ccs_lignite,%,,,
demand_of_molecules_direct_air_capture_co2,0.0,16.434977,0.0,,0.01,demand_of_molecules_direct_air_capture_co2,MT,,,
share_of_energy_hydrogen_biomass_gasification_ccs,0.0,100.0,0.0,,1.0,share_of_energy_hydrogen_biomass_gasification_ccs,%,,,
share_of_industry_chemicals_fertilizers_captured_combustion_co2,0.0,100.0,0.0,,1.0,share_of_industry_chemicals_fertilizers_captured_combustion_co2,%,,,
share_of_energy_power_ultra_supercritical_ccs_coal,0.0,100.0,0.0,,1.0,share_of_energy_power_ultra_supercritical_ccs_coal,%,,,
energy_mixer_for_gas_power_fuel_bio_oil_share,0.0,100.0,0.0,energy_sector_gas,0.1,energy_mixer_for_gas_power_fuel_bio_oil_share,%,,,
energy_mixer_for_gas_power_fuel_natural_gas_share,0.0,100.0,100.0,energy_sector_gas,0.1,energy_mixer_for_gas_power_fuel_natural_gas_share,%,,,
energy_mixer_for_gas_power_fuel_crude_oil_share,0.0,100.0,0.0,energy_sector_gas,0.1,energy_mixer_for_gas_power_fuel_crude_oil_share,%,,,
capacity_of_energy_power_ultra_supercritical_lignite,0.0,1813.2055983479925,0.0,,0.1,capacity_of_energy_power_ultra_supercritical_lignite,MW,,,
capacity_of_energy_power_ultra_supercritical_cofiring_coal,0.0,1616.3067932316121,0.0,,0.1,capacity_of_energy_power_ultra_supercritical_cofiring_coal,MW,,,
capacity_of_energy_power_ultra_supercritical_coal,0.0,1616.3067932316121,0.0,,0.1,capacity_of_energy_power_ultra_supercritical_coal,MW,,,
capacity_of_energy_power_supercritical_coal,0.0,2086.5051330808083,0.0,,0.1,capacity_of_energy_power_supercritical_coal,MW,,,
capacity_of_energy_power_combined_cycle_coal,0.0,1530.1037642592594,0.0,,0.1,capacity_of_energy_power_combined_cycle_coal,MW,,,
capacity_of_energy_chp_ultra_supercritical_cofiring_coal,0.0,1434.4722789930554,0.0,,0.1,capacity_of_energy_chp_ultra_supercritical_cofiring_coal,MW,,,
capacity_of_energy_chp_ultra_supercritical_coal,0.0,1434.4722789930554,0.0,,0.1,capacity_of_energy_chp_ultra_supercritical_coal,MW,,,
capacity_of_energy_chp_ultra_supercritical_lignite,0.0,2550.1729404320986,0.0,,0.1,capacity_of_energy_chp_ultra_supercritical_lignite,MW,True,,
capacity_of_energy_power_turbine_network_gas,0.0,1530.1037642592594,0.0,,0.1,capacity_of_energy_power_turbine_network_gas,MW,,,
capacity_of_energy_power_ultra_supercritical_network_gas,0.0,2494.7343982487923,0.0,,0.1,capacity_of_energy_power_ultra_supercritical_network_gas,MW,,,
capacity_of_energy_power_engine_network_gas,0.0,11475778.231944444,0.0,,0.1,capacity_of_energy_power_engine_network_gas,MW,,,
capacity_of_energy_chp_combined_cycle_network_gas,0.0,3101.5616843093094,0.0,,0.1,capacity_of_energy_chp_combined_cycle_network_gas,MW,,,
capacity_of_energy_chp_local_engine_network_gas,0.0,3414.393999388409,233.99293563423583,,0.1,capacity_of_energy_chp_local_engine_network_gas,MW,,,
capacity_of_energy_power_combined_cycle_network_gas,0.0,5885.014477920228,0.0,,0.1,capacity_of_energy_power_combined_cycle_network_gas,MW,,,
capacity_of_energy_power_ultra_supercritical_crude_oil,0.0,2868.944557986111,0.0,,0.1,capacity_of_energy_power_ultra_supercritical_crude_oil,MW,,,
capacity_of_energy_power_engine_diesel,0.0,2868.944557986111,0.0,,0.1,capacity_of_energy_power_engine_diesel,MW,,,
capacity_of_energy_power_nuclear_gen3_uranium_oxide,0.0,1471.253619480057,0.0,,0.1,capacity_of_energy_power_nuclear_gen3_uranium_oxide,MW,,,
merit_order_subtype_of_energy_power_nuclear_uranium_oxide,0.0,1.0,0.0,,1.0,merit_order_subtype_of_energy_power_nuclear_uranium_oxide,x,,,
capacity_of_energy_power_nuclear_gen2_uranium_oxide,0.0,1434.4722789930554,0.0,,0.1,capacity_of_energy_power_nuclear_gen2_uranium_oxide,MW,,,
capacity_of_energy_chp_supercritical_waste_mix,0.0,2295.1556463888887,0.0,,0.1,capacity_of_energy_chp_supercritical_waste_mix,MW,,,
capacity_of_energy_power_supercritical_waste_mix,0.0,2798.970300474255,76.34146341463416,,0.1,capacity_of_energy_power_supercritical_waste_mix,MW,,,
capacity_of_energy_power_wind_turbine_coastal,0.0,27.584999999999994,0.0,,0.1,capacity_of_energy_power_wind_turbine_coastal,MW,,,
capacity_of_energy_power_wind_turbine_offshore,0.0,75000.0,0.0,,0.1,capacity_of_energy_power_wind_turbine_offshore,MW,,,
capacity_of_energy_power_wind_turbine_inland,0.0,73913.85,76.09953703703702,,0.1,capacity_of_energy_power_wind_turbine_inland,MW,,,
capacity_of_energy_power_geothermal,0.0,1434.4722789930554,0.0,,0.1,capacity_of_energy_power_geothermal,MW,,,
capacity_of_energy_power_turbine_hydrogen,0.0,22951.556463888886,0.0,,0.1,capacity_of_energy_power_turbine_hydrogen,MW,,,
capacity_of_energy_power_combined_cycle_hydrogen,0.0,5885.014477920228,0.0,,0.1,capacity_of_energy_power_combined_cycle_hydrogen,MW,,,
capacity_of_energy_chp_local_engine_biogas,0.0,1434.4722789930554,5.972222222222221,,0.1,capacity_of_energy_chp_local_engine_biogas,MW,,,
capacity_of_energy_chp_local_wood_pellets,0.0,1912.6297053240742,0.0,,0.1,capacity_of_energy_chp_local_wood_pellets,MW,,,
capacity_of_energy_power_hydro_river,0.0,4562.933690633974,17.450850452838527,,0.1,capacity_of_energy_power_hydro_river,MW,,,
capacity_of_energy_power_hydro_mountain,0.0,2851.833556646234,0.0,,0.1,capacity_of_energy_power_hydro_mountain,MW,True,,
capacity_of_energy_power_solar_csp_solar_radiation,0.0,13236.191732346533,0.0,,0.1,capacity_of_energy_power_solar_csp_solar_radiation,MW,True,,
