,area,id,parent_id,group,analysis_year,has_agriculture,has_buildings,has_coastline,has_cold_network,has_electricity_storage,has_employment,has_fce,has_industry,has_lignite,has_merit_order,has_metal,has_mountains,has_old_technologies,has_other,has_solar_csp,has_import_export,use_network_calculations,use_merit_order_demands,has_weather_curves,has_aggregated_chemical_industry,has_detailed_chemical_industry,has_coal_oil_for_heating_built_environment,buildings_insulation_employment_constant,households_insulation_employment_constant,co2_emission_1990_aviation_bunkers,co2_emission_1990_marine_bunkers,co2_percentage_free,co2_price,offshore_ccs_potential_mt_per_year,economic_multiplier,employment_fraction_production,employment_local_fraction,man_hours_per_man_year,lv_net_spare_capacity,lv_net_total_costs_present,lv_net_costs_per_capacity_step,lv_net_capacity_per_step,mv_net_spare_capacity,mv_net_total_costs_present,mv_net_costs_per_capacity_step,mv_net_capacity_per_step,hv_net_spare_capacity,hv_net_total_costs_present,hv_net_costs_per_capacity_step,hv_net_capacity_per_step,lv_mv_trafo_spare_capacity,lv_mv_trafo_total_costs_present,lv_mv_trafo_costs_per_capacity_step,lv_mv_trafo_capacity_per_step,mv_hv_trafo_spare_capacity,mv_hv_trafo_total_costs_present,mv_hv_trafo_costs_per_capacity_step,mv_hv_trafo_capacity_per_step,interconnection_net_costs_present,offshore_net_costs_present,flh_solar_pv_solar_radiation_max,hydrogen_electrolysis_solar_pv_capacity_ratio,insulation_detached_houses_low_share,insulation_detached_houses_medium_share,insulation_detached_houses_high_share,insulation_apartments_low_share,insulation_apartments_medium_share,insulation_apartments_high_share,insulation_semi_detached_houses_low_share,insulation_semi_detached_houses_medium_share,insulation_semi_detached_houses_high_share,insulation_corner_houses_low_share,insulation_corner_houses_medium_share,insulation_corner_houses_high_share,insulation_terraced_houses_low_share,insulation_terraced_houses_medium_share,insulation_terraced_houses_high_share,insulation_detached_houses_start_value,insulation_semi_detached_houses_start_value,insulation_apartments_start_value,insulation_corner_houses_start_value,insulation_terraced_houses_start_value,insulation_buildings_start_value,typical_roof_surface_corner_house_available_for_pv,typical_roof_surface_terraced_house_available_for_pv,typical_roof_surface_detached_house_available_for_pv,typical_roof_surface_semi_detached_house_available_for_pv,typical_roof_surface_apartment_available_for_pv,typical_useful_demand_space_heating_corner_house,typical_useful_demand_space_heating_detached_house,typical_useful_demand_space_heating_semi_detached_house,typical_useful_demand_space_heating_terraced_house,typical_useful_demand_space_heating_apartment,heat_demand_reduction_medium_insulation_corner_house,heat_demand_reduction_medium_insulation_detached_house,heat_demand_reduction_medium_insulation_semi_detached_house,heat_demand_reduction_medium_insulation_terraced_house,heat_demand_reduction_medium_insulation_apartments,heat_demand_reduction_high_insulation_corner_house,heat_demand_reduction_high_insulation_detached_house,heat_demand_reduction_high_insulation_semi_detached_house,heat_demand_reduction_high_insulation_terraced_house,heat_demand_reduction_high_insulation_apartments,heat_demand_reduction_high_insulation_buildings,heat_share_of_apartments_with_block_heating,heat_households_indoor_pipelines_investment_costs_with_block_heating_eur,heat_households_indoor_pipelines_investment_costs_without_block_heating_eur,heat_buildings_indoor_investment_costs_eur_per_kw,heat_buildings_heat_meter_investment_costs_eur_per_kw,heat_buildings_heat_meter_investment_costs_eur_per_connection,heat_exchanger_station_investment_costs_eur_per_kw,heat_sub_station_investment_costs_eur_per_kw,heat_distribution_pipelines_investment_costs_eur_per_meter,heat_length_of_distribution_pipelines_in_meter_per_residence_object_first_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_second_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_third_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fourth_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fifth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_first_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_second_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_third_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fourth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fifth_bracket,heat_primary_pipelines_investment_costs_per_kw,heat_yearly_indoor_infrastructure_maintenance_costs_factor,heat_yearly_outdoor_infrastructure_maintenance_costs_factor,electric_vehicle_profile_1_share,electric_vehicle_profile_2_share,electric_vehicle_profile_3_share,electric_vehicle_profile_4_share,electric_vehicle_profile_5_share,solar_pv_profile_1_share,solar_pv_profile_2_share,annual_infrastructure_cost_gas,areable_land,co2_emission_1990,coast_line,interconnector_capacity,total_land_area,number_of_buildings,number_of_cars,number_of_residences,number_of_inhabitants,offshore_suitable_for_wind,residences_roof_surface_available_for_pv,buildings_roof_surface_available_for_pv,other_emission_agriculture,other_emission_built_environment,other_emission_transport,other_emission_industry_energy,number_of_detached_houses,number_of_apartments,number_of_semi_detached_houses,number_of_corner_houses,number_of_terraced_houses,init,base_dataset,scaling,uses_deprecated_initializer_inputs,derived,last_updated_at,useable
0,RES03_regio_drenthe,961,961,res,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,19600507.74,18320.0,0.02,0.25,16844186.34,138000.0,0.2,0.25,9898256.408,72800.0,0.2,0.25,6982680.882,4000.0,0.02,0.25,5880152.321,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.4823869565217391,0.5176130434782609,0.0,0.45655,0.54345,0.0,0.4472884615384615,0.5527115384615384,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,11.905100000000001,14.3705,17.3904,21.0,21.0,44.234,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,6.6,8.5,10.0,11.6,15.0,5.7,7.8,9.1,10.8,13.6,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,41.834369799329565,1883.5,3.781228,0.0,60000.0,2634.25,35937.0,253051.0,218621.0,488629.0,1427.083587,4.63251,2.316255,1.210684,0.021838,0.043625,0.106325,64883.652106,38147.615532,39693.484623000004,27635.88061,48260.367129,{},nl,"{'area_attribute': 'number_of_residences', 'value': 218621, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
1,GM0532_stede_broec,779,779,municipality,2016,True,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,618542.540780045,18320.0,0.02,0.25,531559.995951743,138000.0,0.2,0.25,312363.983102402,72800.0,0.2,0.25,220355.78015796,4000.0,0.02,0.25,185562.76222664,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.2608695652173913,0.7391304347826086,0.0,0.15625,0.84375,0.0,0.5,0.5,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,17.0,13.0,27.0,21.0,21.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,7.8,8.1,8.3,8.6,8.8,9.5,9.7,10.0,10.4,11.1,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7267936431959878,6.94,0.0695652660603509,0.08,60000.0,14.55,810.0,9374.0,9024.0,21493.0,62.7721800069733,0.224342174255094,0.280018162231015,0.0060771313,0.00072442455898,0.001655290644,0.000464194588144,1745.2728468113082,870.1643655489809,895.8737672583827,1901.5069033530572,3611.1821170282706,{},nl,"{'area_attribute': 'number_of_residences', 'value': 9024, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
2,BU00140604_helpman,728,728,neighbourhood,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,115533.2192,1832.0,0.002,0.25,99286.36022,1380.0,0.002,0.25,58344.27568,728.0,0.002,0.25,41158.70933,400.0,0.002,0.25,34659.96575,500.0,0.002,0.0,0.0,1361.35634547,0.427,0.6956521739130435,0.30434782608695654,0.0,0.75,0.25,0.0,0.8461538461538461,0.15384615384615385,0.0,0.43478260869565216,0.5652173913043479,0.0,0.5806451612903226,0.4193548387096774,0.0,7.000000000000001,4.0,8.0,13.0,13.0,0.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,3.8,3.8,3.8,3.8,3.8,3.5,3.5,3.5,3.5,3.5,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6500352400195889,0.0,0.023819994,0.0,60000.0,0.59,187.0,2060.0,3397.0,6050.0,5.9,0.042085794,0.008870241,0.0,0.0,0.0,0.0,18.05220381369178,2770.482338230697,29.73304157549234,132.73679274773366,445.9956236323851,{},nl,"{'area_attribute': 'number_of_residences', 'value': 3397, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
3,BU00141106_koningslaagte,789,789,neighbourhood,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,16812.91423,1832.0,0.002,0.25,14448.59817,1380.0,0.002,0.25,8490.521689,728.0,0.002,0.25,5989.600696,400.0,0.002,0.25,5043.87427,500.0,0.002,0.0,0.0,1361.35634547,0.427,0.5217391304347826,0.4782608695652174,0.0,0.0,1.0,0.0,0.0,0.6744186046511628,0.32558139534883723,0.0,0.7391304347826086,0.2608695652173913,0.0,0.8421052631578947,0.15789473684210525,11.0,40.0,32.0,35.0,37.0,54.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,24.2,24.2,24.2,24.2,24.2,22.9,22.9,22.9,22.9,22.9,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0047838919636413665,0.0,0.000920127,0.0,60000.0,6.86,2.0,30.0,25.0,75.0,68.6,0.011013951,0.003373549,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,{},nl,"{'area_attribute': 'number_of_residences', 'value': 25, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
4,BU00140301_indische_buurt,716,716,neighbourhood,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,114330.4628,1832.0,0.002,0.25,98252.74144,1380.0,0.002,0.25,57736.8837,728.0,0.002,0.25,40730.22736,400.0,0.002,0.25,34299.13883,500.0,0.002,0.0,0.0,1361.35634547,0.427,0.6956521739130435,0.30434782608695654,0.0,0.46875,0.53125,0.0,0.3076923076923077,0.6923076923076923,0.0,0.0,0.8695652173913044,0.13043478260869557,0.3225806451612903,0.6774193548387097,0.0,7.000000000000001,18.0,17.0,28.999999999999996,21.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9003284675573052,0.0,0.022102206,0.0,60000.0,0.69,112.0,1760.0,4705.0,8530.0,6.9,0.037119547,0.003383101,0.0,0.0,0.0,0.0,1.0066324347454003,4101.02053915276,9.059691912708603,69.45763799743261,524.4554985023535,{},nl,"{'area_attribute': 'number_of_residences', 'value': 4705, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
5,GM0840_rucphen,776,776,municipality,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,778469.889726976,18320.0,0.02,0.25,668997.561444969,138000.0,0.2,0.25,393127.294322795,72800.0,0.2,0.25,277329.898221615,4000.0,0.02,0.25,233540.966908813,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.5217391304347826,0.4782608695652174,0.0,0.15625,0.84375,0.0,0.5,0.5,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,11.0,13.0,27.0,21.0,21.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,9.0,9.1,9.2,10.8,15.7,10.6,11.1,11.2,12.3,15.1,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8243850392542718,42.16,0.140981926889808,0.0,60000.0,64.41,1007.0,12576.0,9534.0,22276.0,65.0589997597049,0.22705670713479,0.113528353567395,0.0402075742,0.0008821872822,0.0019913254,0.000586434930286,3929.6955748509267,723.1038811591171,2371.780730201904,1110.0891306622034,1399.3306831258503,{},nl,"{'area_attribute': 'number_of_residences', 'value': 9534, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
6,BU00141104_noorderhoogebrug,797,797,neighbourhood,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,4396.382691,1832.0,0.002,0.25,3778.141375,1380.0,0.002,0.25,2220.173259,728.0,0.002,0.25,1566.211334,400.0,0.002,0.25,1318.914807,500.0,0.002,0.0,0.0,1361.35634547,0.427,0.6956521739130435,0.30434782608695654,0.0,0.75,0.25,0.0,0.8461538461538461,0.15384615384615385,0.0,0.43478260869565216,0.5652173913043479,0.0,0.5806451612903226,0.4193548387096774,0.0,7.000000000000001,4.0,8.0,13.0,13.0,0.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,10.7,10.7,10.7,10.7,10.7,16.6,16.6,16.6,16.6,16.6,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.023536748461115527,0.0,0.001220468,0.0,60000.0,0.49,5.0,155.0,123.0,285.0,4.9,0.005066354,0.000788523,0.0,0.0,0.0,0.0,39.31967213114754,15.12295081967213,29.23770491803279,17.13934426229508,22.180327868852462,{},nl,"{'area_attribute': 'number_of_residences', 'value': 123, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
7,BU00141207_kardinge,803,803,neighbourhood,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,93883.99578,1832.0,0.002,0.25,80681.55886,1380.0,0.002,0.25,47411.41787,728.0,0.002,0.25,33446.1735,400.0,0.002,0.25,28165.19873,500.0,0.002,0.0,0.0,1361.35634547,0.427,0.0,0.6818181818181819,0.3181818181818182,0.0,1.0,0.0,0.0,0.6744186046511628,0.32558139534883723,0.0,0.7391304347826086,0.2608695652173913,0.0,0.8421052631578947,0.15789473684210525,37.0,40.0,32.0,35.0,37.0,64.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,10.7,10.7,10.7,10.7,10.7,10.9,10.9,10.9,10.9,10.9,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00019135567854565466,0.0,0.00699296,0.0,60000.0,0.98,15.0,0.0,1.0,0.0,9.8,0.000264011,0.015162371,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,{},nl,"{'area_attribute': 'number_of_residences', 'value': 1, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
8,GM0439_purmerend,774,774,municipality,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,1756848.96563762,18320.0,0.02,0.25,1509792.07975647,138000.0,0.2,0.25,887208.727671082,72800.0,0.2,0.25,625877.4440228,4000.0,0.02,0.25,527054.689670341,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.2608695652173913,0.7391304347826086,0.0,0.46875,0.53125,0.0,0.3076923076923077,0.6923076923076923,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,17.0,18.0,17.0,21.0,21.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,4.0,4.5,5.0,5.5,6.3,4.4,5.2,5.8,6.3,7.2,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.808435042654392,2.63,0.165803820866716,0.0,60000.0,23.19,4298.0,41763.0,35580.0,79889.0,233.322788283492,0.63127786240345,0.58537640491997,0.00318730632,0.00252679474,0.00608167335,0.00523416579886,1151.691472694718,11500.988137869293,813.2514547896152,5170.168979409132,16943.899955237244,{},nl,"{'area_attribute': 'number_of_residences', 'value': 35580, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
9,GM0303_dronten,730,730,municipality,2017,True,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,1682093.65727287,18320.0,0.02,0.25,1445549.23663427,138000.0,0.2,0.25,849457.296945858,72800.0,0.2,0.25,599245.865417245,4000.0,0.02,0.25,504628.097161808,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.2608695652173913,0.7391304347826086,0.0,0.15625,0.84375,0.0,0.3076923076923077,0.6923076923076923,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,17.0,18.0,27.0,21.0,21.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,7.6,8.6,9.4,10.3,14.5,6.6,7.6,8.4,9.5,13.4,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.156411917610574,265.83,0.233050007989066,8.451,60000.0,333.7,1696.0,20256.0,16603.0,40746.0,12500.0,0.705421,1.507236,0.11564085,0.0016063813028,0.0039278839,0.004788941745672,3610.8848997456676,2045.5461643106403,1740.1381676228782,2712.3372567575557,6494.093511563256,{},nl,"{'area_attribute': 'number_of_residences', 'value': 16495, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
