,area_codes
0,RES03_regio_drenthe
1,GM0532_stede_broec
2,BU00140604_helpman
3,BU00141106_koningslaagte
4,BU00140301_indische_buurt
5,GM0840_rucphen
6,BU00141104_noorderhoogebrug
7,BU00141207_kardinge
8,GM0439_purmerend
9,GM0303_dronten
10,GM0707_zederik
11,PV30_noord_brabant
12,RGNH01_ijmond_zuid_kennemerland
13,BU00140900_vinkhuizen_noord
14,BU00140203_kostverloren
15,RES26_cleantechregio
16,GM0277_rozendaal
17,PV29_zeeland
18,PV25_gelderland
19,GM0294_winterswijk
20,GM0637_zoetermeer
21,BU00140808_peizerweg
22,BU00170103_essen
23,GM0180_staphorst
24,BU00140401_vogelbuurt
25,GM0370_beemster_no_highways
26,GM0457_weesp
27,GM0279_scherpenzeel
28,GM1730_tynaarlo
29,GM0352_wijk_bij_duurstede
30,BU00140810_de_buitenhof
31,GM0569_nieuwkoop
32,GM1621_lansingerland
33,BU00140802_westpoort
34,GM1742_rijssen_holten
35,BU00140002_binnenstad_oost
36,GM0617_strijen
37,BU00141209_noorddijk
38,BU00140302_professorenbuurt
39,GM1955_montferland
40,BU00140101_oosterpoort
41,GM0638_zoeterwoude
42,GM0356_nieuwegein
43,GM0584_oud_beijerland
44,BU00140104_grunobuurt
45,rotterdam
46,BU00140904_reitdiep
47,GM0200_apeldoorn
48,RES08_groningen
49,GM0193_zwolle
50,BU00140509_stainkoeln
51,GM1696_wijdemeren
52,GM1655_halderberge
53,GM0575_noordwijk
54,GM0765_pekela
55,GM0189_wierden
56,BU00140003_binnenstad_west
57,BU00170102_paterswolde_gedeeltelijk
58,GM0340_rhenen
59,BU00141101_beijum_oost
60,eu
61,BU00170101_onnen
62,GM0530_hellevoetsluis
63,GM1586_oost_gelre
64,GM0482_alblasserdam
65,BU00140601_coendersborg
66,BU00141107_hunzeboord
67,GM0353_ijsselstein
68,GM0293_westervoort
69,BU00141105_het_witte_lam
70,RES13_rotterdam_denhaag
71,GM0809_loon_op_zand
72,GM0335_montfoort
73,GM0762_deurne
74,GM1705_lingewaard
75,PV31_limburg
76,RES01_achterhoek
77,GM0502_capelle_aan_den_ijssel
78,RES17_noord_holland_zuid_no_steel
79,GM0738_aalburg
80,GM1970_noardeast_fryslan
81,GM0370_beemster
82,GM1731_midden_drenthe
83,BU00140109_martini_trade_park
84,BU00170107_verspreide_huizen_op_de_hondsrug
85,BU00141201_lewenborg_zuid
86,BU00090005_achter_thesinge_en_bovenrijge
87,GM0851_steenbergen
88,GM0703_reimerswaal
89,GM0668_west_maas_en_waal
90,GM1940_de_fryske_marren
91,GM1876_bronckhorst
92,GM1783_westland
93,GM1740_neder_betuwe
94,BU00140004_noorderplantsoen
95,BU00141203_oosterhoogebrug
96,BU00141210_ruischerbrug
97,GM0377_bloemendaal
98,GM0861_veldhoven
99,GM0610_sliedrecht
100,GM1774_dinkelland
101,GM0383_castricum
102,GM0664_goes
103,GM0588_korendijk
104,RES12_metropoolregio_eindhoven
105,RES31_zuid_limburg
106,BU00090104_wittewierum
107,GM0611_cromstrijen
108,GM0518_s_gravenhage
109,GM0620_vianen
110,GM0080_leeuwarden
111,BU00140500_de_linie
112,GM0301_zutphen
113,GM0733_lingewaal
114,GM0614_westvoorne
115,GM0755_boekel
116,GM1948_meierijstad
117,GM0289_wageningen
118,BU00140108_stadspark
119,GM1773_olst_wijhe
120,GM0148_dalfsen
121,BU00141102_de_hunze
122,GM0396_heemskerk
123,GM0432_opmeer
124,GM1911_hollands_kroon
125,GM0175_ommen
126,RES23_arnhem_nijmegen
127,GM0363_amsterdam
128,BU00141211_ruischerwaard
129,GM0361_alkmaar
130,GM0677_hulst
131,BU00140903_friesestraatweg
132,GM0796_s_hertogenbosch
133,GM0173_oldenzaal
134,GM1891_dantumadiel
135,GM0995_lelystad
136,GM1680_aa_en_hunze
137,GM0226_duiven
138,GM0523_hardinxveld_giessendam
139,GM0345_veenendaal
140,GM0479_zaanstad
141,GM1674_roosendaal
142,GM0228_ede
143,BU00140504_woonschepenhaven
144,GM0717_veere
145,BU00170108_verspreide_huizen_onner_esch
146,GM0166_kampen
147,GM0090_smallingerland
148,BU00140902_hoendiep
149,GM0627_waddinxveen
150,GM0473_zandvoort
151,GM1966_het_hogeland
