index,unit,share_group,key,related_node,node_source_url,step_value,draw_to_min,draw_to_max,disabled,translated_name,sanitized_description,fixed,has_flash_movie,additional_specs,group,subgroup
0,mln,,households_number_of_inhabitants,,,0.1,,,False,Population,"How do you expect the population to grow? Apart from increasing prosperity, this is one of the most important drivers for the energy demand growth.",False,False,{},Households,Population & housing stock
1,#,,households_number_of_residences,,,1.0,,,False,Residences,How do you expect the number of residences to develop over time?,False,False,{},Households,Population & housing stock
2,%,housing_stock,households_apartments_share,,,0.1,,,False,Apartment,How many apartments will there be in the future?,False,False,{},Households,Population & housing stock
3,%,housing_stock,households_corner_houses_share,,,0.1,,,False,Corner house,How many corner houses will there be in the future?,False,False,{},Households,Population & housing stock
4,%,housing_stock,households_detached_houses_share,,,0.1,,,False,Detached house,How many detached houses will there be in the future?,False,False,{},Households,Population & housing stock
5,%,housing_stock,households_semi_detached_houses_share,,,0.1,,,False,Semi-detached house,How many semi-detached houses will there be in the future?,False,False,{},Households,Population & housing stock
6,%,housing_stock,households_terraced_houses_share,,,0.1,,,False,Terraced house,How many terraced houses will there be in the future?,False,False,{},Households,Population & housing stock
7,%,,households_insulation_level_apartments,,,0.1,0.0,,False,Apartment,"The heat demand reduction is the percentage by which the heat demand is reduced compared to a badly insulated house (characterised by label G), i.e. the slider indicates how much of the potential savings has been achieved. The current settings are based on the energy labels that are present within your region, for the Netherlands this data is derived from <a href=""https://bagviewer.kadaster.nl/lvbag/bag-viewer/index.html#?geometry.x=160000&geometry.y=455000&zoomlevel=0)"" target=""_blank"">""Basisregistratie Adressen en Gebouwen (BAG)""</a>. These labels have been converted into heat demand reduction percentages. The relationship between heat demand reduction and energy labels per housing type can be found in our <a href=""https://docs.energytransitionmodel.com/main/insulation"" target=""_blank"">documentation</a>. However, the mapping is ambiguous since there is no direct relationship between energy labels and the insulation level. Please note that the label image above the household insulation sliders shows the <i>average</i> label vs. heat demand reduction mapping for all housing types. 
<br><br>
For the current situation no insulation costs are taken into account, only when insulation measures are taken. The insulation costs are based on the Ecofys <a href=""https://refman.energytransitionmodel.com/publications/2063"" target=""_blank"">&#39;De systeemkosten van warmte voor woningen (2015)&#39;</a> (Dutch only). We make a distinction between costs for existing and newly built houses. The insulation costs for houses are not fixed per % heat demand reduction, but instead the costs depend on the level of insulation in the present year: e.g. going from 0 to 30% is cheaper than going from 30% to 60% insulation.",False,False,{},Households,Insulation
8,%,,households_insulation_level_corner_houses,,,0.1,0.0,,False,Corner house,"The heat demand reduction is the percentage by which the heat demand is reduced compared to a badly insulated house (characterised by label G), i.e. the slider indicates how much of the potential savings has been achieved. The current settings are based on the energy labels that are present within your region, for the Netherlands this data is derived from <a href=""https://bagviewer.kadaster.nl/lvbag/bag-viewer/index.html#?geometry.x=160000&geometry.y=455000&zoomlevel=0)"" target=""_blank"">""Basisregistratie Adressen en Gebouwen (BAG)""</a>. These labels have been converted into heat demand reduction percentages. The relationship between heat demand reduction and energy labels per housing type can be found in our <a href=""https://docs.energytransitionmodel.com/main/insulation"" target=""_blank"">documentation</a>. However, the mapping is ambiguous since there is no direct relationship between energy labels and the insulation level. Please note that the label image above the household insulation sliders shows the <i>average</i> label vs. heat demand reduction mapping for all housing types. 
<br><br>
For the current situation no insulation costs are taken into account, only when insulation measures are taken. The insulation costs are based on the Ecofys <a href=""https://refman.energytransitionmodel.com/publications/2063"" target=""_blank"">&#39;De systeemkosten van warmte voor woningen (2015)&#39;</a> (Dutch only). We make a distinction between costs for existing and newly built houses. The insulation costs for houses are not fixed per % heat demand reduction, but instead the costs depend on the level of insulation in the present year: e.g. going from 0 to 30% is cheaper than going from 30% to 60% insulation.",False,False,{},Households,Insulation
9,%,,households_insulation_level_detached_houses,,,0.1,0.0,,False,Detached house,"The heat demand reduction is the percentage by which the heat demand is reduced compared to a badly insulated house (characterised by label G), i.e. the slider indicates how much of the potential savings has been achieved. The current settings are based on the energy labels that are present within your region, for the Netherlands this data is derived from <a href=""https://bagviewer.kadaster.nl/lvbag/bag-viewer/index.html#?geometry.x=160000&geometry.y=455000&zoomlevel=0)"" target=""_blank"">""Basisregistratie Adressen en Gebouwen (BAG)""</a>. These labels have been converted into heat demand reduction percentages. The relationship between heat demand reduction and energy labels per housing type can be found in our <a href=""https://docs.energytransitionmodel.com/main/insulation"" target=""_blank"">documentation</a>. However, the mapping is ambiguous since there is no direct relationship between energy labels and the insulation level. Please note that the label image above the household insulation sliders shows the <i>average</i> label vs. heat demand reduction mapping for all housing types. 
<br><br>
For the current situation no insulation costs are taken into account, only when insulation measures are taken. The insulation costs are based on the Ecofys <a href=""https://refman.energytransitionmodel.com/publications/2063"" target=""_blank"">&#39;De systeemkosten van warmte voor woningen (2015)&#39;</a> (Dutch only). We make a distinction between costs for existing and newly built houses. The insulation costs for houses are not fixed per % heat demand reduction, but instead the costs depend on the level of insulation in the present year: e.g. going from 0 to 30% is cheaper than going from 30% to 60% insulation.",False,False,{},Households,Insulation
